driverId,eventType,longitude,latitude
29,Normal,-93.61,35.51
21,Normal,-94.35,38.33
28,Normal,-93.6,39.77
13,Normal,-88.41,42.11
23,Normal,-90.7,41.62
19,Normal,-93.36,35.4
18,Normal,-93.93,39.76
11,Normal,-87.67,41.87
25,Normal,-90.15,38.62
20,Normal,-88.96,42.25
26,Normal,-94.54,37.02
16,Normal,-90.7,41.62
18,Normal,-94.15,39.77
10,Normal,-94.83,36.84
24,Normal,-88.07,41.48
13,Normal,-88.96,42.25
23,Normal,-91.32,41.71
21,Normal,-94.59,39.1
20,Normal,-89.29,41.85
28,Normal,-94.25,39.73
30,Normal,-88.96,42.25
13,Normal,-89.03,41.92
29,Normal,-92.53,35.15
18,Normal,-94.24,39.63
28,Normal,-94.24,39.63
30,Normal,-89.03,41.92
11,Normal,-88.77,40.76
23,Normal,-91.63,41.72
15,Normal,-91.93,34.81
16,Normal,-91.47,41.74
17,Normal,-94.16,39.04
10,Normal,-95.35,36.47
23,Normal,-91.78,42.23
13,Normal,-89.6,41.76
12,Normal,-89.56,37.2
19,Normal,-92.25,34.75
10,Overspeed,-95.5,36.37
11,Unsafe tail distance,-89.63,39.84
23,Normal,-91.78,42.23
21,Normal,-94.35,38.33
26,Normal,-95.5,36.37
17,Normal,-93.85,39.01
25,Normal,-89.54,36.84
16,Normal,-91.78,42.23
11,Normal,-89.74,39.1
22,Normal,-92.09,34.8
10,Normal,-95.76,36.18
17,Normal,-93.65,39.0
18,Normal,-94.57,39.15
32,Normal,-92.09,34.8
31,Normal,-94.3,37.66
21,Normal,-94.3,37.66
26,Normal,-95.76,36.18
18,Normal,-94.57,39.15
24,Normal,-90.2,38.65
25,Normal,-89.8,35.94
15,Normal,-91.93,34.81
10,Normal,-95.99,36.17
26,Normal,-95.99,36.17
25,Normal,-90.07,35.68
24,Normal,-89.74,39.1
21,Normal,-94.46,37.16
27,Normal,-93.2,38.98
26,Normal,-95.99,36.17
32,Normal,-91.38,34.83
24,Normal,-89.63,39.84
12,Normal,-90.07,35.1
28,Normal,-94.36,39.37
27,Normal,-93.01,38.97
31,Normal,-94.58,37.03
19,Normal,-93.36,35.4
30,Normal,-91.59,41.7
21,Normal,-94.58,37.03
26,Normal,-95.69,36.25
29,Normal,-93.61,35.51
17,Normal,-92.63,38.95
24,Normal,-88.77,40.76
14,Normal,-94.58,37.03
12,Normal,-90.24,35.35
27,Normal,-92.63,38.95
17,Normal,-92.53,38.98
31,Normal,-94.46,37.16
14,Normal,-94.46,37.16
25,Normal,-90.24,35.35
13,Normal,-92.4,41.78
26,Normal,-95.35,36.47
27,Normal,-92.53,38.98
22,Normal,-90.37,35.21
30,Normal,-92.4,41.78
23,Normal,-89.52,40.7
26,Normal,-95.14,36.66
10,Normal,-95.01,36.73
24,Normal,-87.67,41.87
28,Normal,-93.93,39.76
32,Normal,-90.04,35.19
18,Normal,-93.93,39.76
26,Normal,-95.01,36.73
10,Normal,-94.83,36.84
22,Normal,-90.04,35.19
32,Normal,-90.04,35.19
19,Normal,-94.88,35.47
21,Normal,-94.35,38.33
10,Normal,-94.54,37.02
11,Normal,-87.67,41.87
20,Normal,-93.58,41.62
14,Normal,-94.35,38.33
26,Normal,-94.54,37.02
21,Normal,-94.38,38.67
16,Normal,-89.91,40.86
20,Normal,-93.36,41.69
17,Normal,-91.56,38.93
28,Normal,-93.13,39.78
27,Normal,-91.74,38.94
21,Normal,-94.38,38.99
15,Normal,-90.68,35.12
14,Normal,-94.38,38.99
22,Normal,-90.94,35.03
26,Normal,-93.96,37.08
30,Normal,-93.58,41.62
21,Normal,-94.59,39.1
16,Normal,-90.44,41.54
15,Normal,-90.94,35.03
28,Normal,-92.74,39.76
30,Normal,-93.36,41.69
19,Normal,-95.56,35.97
25,Normal,-90.0,37.72
29,Normal,-95.76,36.08
11,Normal,-89.17,40.38
32,Normal,-91.38,34.83
20,Normal,-92.4,41.78
23,Normal,-91.32,41.71
19,Normal,-95.76,36.08
10,Normal,-93.14,37.26
11,Normal,-89.63,39.84
23,Normal,-91.47,41.74
21,Normal,-94.38,38.67
19,Normal,-95.99,36.17
25,Normal,-90.35,38.43
17,Normal,-90.79,38.83
31,Normal,-94.38,38.67
23,Normal,-91.63,41.72
18,Normal,-92.27,39.76
19,Normal,-96.21,36.19
25,Normal,-90.15,38.62
17,Normal,-90.67,38.82
31,Normal,-94.35,38.33
30,Normal,-92.19,41.74
21,Normal,-94.37,38.0
26,Normal,-92.89,37.51
29,Normal,-96.68,36.2
28,Normal,-91.8,39.67
14,Normal,-94.37,38.0
11,Normal,-90.2,38.65
21,Normal,-94.3,37.66
26,Normal,-92.74,37.6
29,Normal,-96.97,36.24
31,Normal,-94.3,37.66
11,Unsafe following distance,-89.74,39.1
23,Normal,-91.63,41.72
12,Normal,-90.0,37.72
28,Normal,-91.36,39.76
29,Normal,-97.14,36.41
15,Normal,-92.31,34.78
22,Normal,-91.93,34.81
23,Normal,-91.47,41.74
16,Normal,-91.63,41.72
32,Normal,-91.93,34.81
31,Normal,-94.46,37.16
14,Normal,-94.46,37.16
22,Normal,-91.74,34.89
27,Normal,-90.21,38.65
28,Normal,-90.97,39.72
29,Normal,-97.34,36.63
32,Normal,-91.74,34.89
22,Normal,-91.38,34.83
11,Normal,-88.77,40.76
16,Normal,-91.32,41.71
24,Normal,-88.07,41.48
32,Normal,-91.38,34.83
20,Normal,-89.6,41.76
25,Normal,-89.56,37.2
11,Normal,-88.42,41.11
27,Normal,-90.41,38.75
10,Normal,-91.69,37.99
22,Normal,-90.94,35.03
15,Normal,-91.38,34.83
25,Normal,-89.54,36.84
30,Normal,-89.88,41.77
17,Normal,-90.67,38.82
10,Normal,-91.55,38.04
31,Normal,-94.31,37.31
27,Normal,-90.67,38.82
15,Normal,-91.14,34.96
26,Normal,-91.55,38.04
23,Normal,-90.29,40.96
24,Normal,-88.07,41.48
32,Normal,-90.68,35.12
30,Normal,-89.29,41.85
11,Normal,-87.67,41.87
12,Normal,-90.24,35.35
28,Normal,-90.24,39.72
10,Normal,-91.3,38.14
31,Normal,-94.37,38.0
27,Normal,-90.93,38.82
26,Normal,-91.3,38.14
14,Normal,-94.37,38.0
24,Normal,-88.77,40.76
32,Normal,-90.04,35.19
31,Normal,-94.35,38.33
18,Normal,-90.24,39.72
16,Normal,-89.52,40.7
19,Normal,-97.36,37.69
22,Normal,-90.37,35.21
10,Normal,-91.07,38.31
11,Lane Departure,-88.77,40.76
25,Normal,-90.07,35.1
14,Normal,-94.38,38.67
28,Normal,-89.96,39.74
22,Normal,-90.68,35.12
10,Normal,-90.86,38.46
20,Normal,-87.66,41.89
27,Normal,-91.33,38.87
21,Normal,-94.59,39.1
24,Normal,-89.74,39.1
27,Normal,-91.56,38.93
15,Normal,-90.37,35.21
18,Normal,-89.78,39.77
11,Normal,-89.63,39.84
21,Normal,-94.59,39.1
24,Normal,-90.2,38.65
31,Normal,-94.59,39.1
27,Normal,-91.74,38.94
18,Normal,-89.66,39.78
12,Normal,-89.65,36.37
13,Normal,-87.66,41.89
19,Normal,-97.32,37.15
32,Normal,-91.14,34.96
25,Normal,-89.8,35.94
15,Normal,-90.94,35.03
30,Normal,-87.66,41.89
13,Normal,-88.02,42.04
25,Normal,-89.65,36.37
20,Normal,-88.64,42.21
23,Normal,-91.32,41.71
21,Normal,-94.35,38.33
13,Normal,-88.41,42.11
22,Normal,-91.93,34.81
10,Normal,-90.18,38.64
31,Normal,-94.35,38.33
30,Normal,-88.41,42.11
12,Normal,-89.71,37.47
17,Normal,-92.53,38.98
28,Normal,-90.14,39.76
10,Normal,-90.34,38.58
20,Normal,-89.03,41.92
30,Normal,-88.64,42.21
16,Normal,-91.47,41.74
26,Normal,-90.34,38.58
19,Normal,-97.35,36.4
32,Normal,-92.09,34.8
10,Normal,-90.53,38.51
13,Normal,-89.03,41.92
26,Normal,-90.53,38.51
12,Normal,-90.24,38.0
25,Normal,-90.0,37.72
15,Normal,-92.09,34.8
23,Normal,-91.78,42.23
20,Normal,-89.6,41.76
26,Normal,-90.69,38.5
12,Normal,-90.35,38.43
15,Normal,-92.31,34.78
29,Normal,-96.68,36.2
27,Normal,-93.01,38.97
11,Unsafe tail distance,-88.42,41.11
12,Normal,-90.15,38.62
17,Normal,-93.2,38.98
27,Normal,-93.2,38.98
32,Normal,-92.09,34.8
31,Normal,-94.58,37.03
11,Normal,-88.07,41.48
16,Normal,-91.63,41.72
23,Normal,-91.32,41.71
31,Normal,-94.58,37.03
32,Normal,-91.93,34.81
30,Normal,-89.88,41.77
11,Normal,-87.67,41.87
19,Normal,-96.21,36.19
23,Normal,-91.05,41.72
13,Normal,-90.64,41.56
25,Normal,-90.15,38.62
24,Normal,-88.07,41.48
16,Normal,-91.32,41.71
26,Normal,-91.3,38.14
22,Normal,-91.14,34.96
27,Normal,-93.85,39.01
25,Normal,-90.35,38.43
30,Normal,-90.64,41.56
17,Normal,-94.0,39.03
26,Normal,-91.44,38.09
31,Normal,-94.3,37.66
18,Normal,-91.2,39.75
14,Normal,-94.3,37.66
17,Normal,-94.16,39.04
16,Normal,-90.7,41.62
26,Normal,-91.55,38.04
27,Normal,-94.16,39.04
23,Normal,-90.29,40.96
28,Normal,-91.59,39.68
30,Normal,-91.24,41.67
11,Normal,-88.77,40.76
29,Normal,-95.3,35.64
31,Normal,-94.35,38.33
23,Normal,-89.91,40.86
17,Normal,-94.44,39.1
30,Normal,-91.59,41.7
22,Normal,-90.04,35.19
18,Normal,-91.8,39.67
13,Normal,-92.19,41.74
10,Normal,-92.08,37.81
24,Normal,-89.74,39.1
27,Normal,-94.44,39.1
26,Normal,-92.08,37.81
29,Normal,-94.88,35.47
28,Normal,-92.27,39.76
14,Normal,-94.38,38.99
27,Normal,-94.31,39.04
22,Normal,-90.37,35.21
15,Normal,-90.04,35.19
12,Normal,-89.8,35.94
17,Normal,-94.16,39.04
30,Normal,-92.4,41.78
10,Normal,-92.48,37.8
11,Unsafe tail distance,-90.2,38.65
31,Normal,-94.59,39.1
18,Normal,-92.42,39.76
14,Normal,-94.59,39.1
28,Normal,-92.57,39.77
27,Normal,-94.0,39.03
22,Normal,-90.94,35.03
15,Normal,-90.37,35.21
18,Normal,-92.57,39.77
30,Normal,-93.04,41.71
17,Normal,-93.85,39.01
27,Normal,-93.85,39.01
19,Normal,-93.92,35.53
26,Normal,-92.74,37.6
18,Normal,-92.74,39.76
20,Normal,-93.58,41.62
32,Normal,-90.94,35.03
16,Normal,-90.44,41.54
11,Normal,-90.24,38.0
12,Normal,-90.07,35.1
21,Normal,-94.37,38.0
22,Normal,-91.74,34.89
20,Normal,-93.36,41.69
25,Normal,-90.07,35.1
18,Normal,-93.13,39.78
15,Normal,-91.14,34.96
17,Normal,-93.2,38.98
27,Normal,-93.2,38.98
12,Normal,-90.07,35.68
25,Normal,-90.24,35.35
15,Normal,-91.38,34.83
17,Normal,-93.01,38.97
27,Normal,-93.01,38.97
14,Normal,-94.3,37.66
28,Normal,-93.6,39.77
18,Normal,-93.6,39.77
11,Normal,-89.56,37.2
15,Normal,-91.74,34.89
27,Normal,-92.85,38.93
13,Normal,-92.4,41.78
30,Normal,-93.04,41.71
25,Normal,-89.8,35.94
19,Normal,-92.53,35.15
20,Normal,-92.19,41.74
14,Normal,-94.46,37.16
30,Normal,-92.74,41.75
26,Normal,-93.96,37.08
18,Normal,-94.15,39.77
17,Normal,-92.53,38.98
11,Normal,-89.65,36.37
30,Normal,-92.4,41.78
18,Normal,-94.25,39.73
28,Normal,-94.25,39.73
12,Normal,-89.56,37.2
17,Normal,-92.38,38.98
10,Normal,-94.54,37.02
27,Normal,-92.38,38.98
28,Normal,-94.24,39.63
31,Normal,-89.74,39.1
25,Normal,-89.56,37.2
20,Normal,-91.24,41.67
24,Normal,-88.77,40.76
32,Normal,-92.09,34.8
12,Normal,-90.0,37.72
19,Normal,-92.25,34.92
25,Normal,-89.71,37.47
20,Normal,-90.82,41.66
27,Normal,-92.03,38.97
32,Normal,-91.93,34.81
31,Normal,-89.17,40.38
25,Normal,-90.0,37.72
20,Normal,-90.64,41.56
14,Normal,-90.29,40.96
31,Normal,-88.77,40.76
18,Normal,-94.42,39.27
15,Normal,-91.74,34.89
26,Normal,-95.14,36.66
23,Normal,-91.05,41.72
16,Normal,-91.32,41.71
28,Normal,-94.57,39.15
29,Normal,-93.36,35.4
13,Normal,-90.2,41.59
23,Normal,-90.7,41.62
11,Normal,-90.24,35.35
27,Normal,-91.33,38.87
12,Normal,-90.15,38.62
31,Normal,-88.07,41.48
20,Normal,-89.6,41.76
25,Normal,-90.15,38.62
18,Normal,-94.42,39.27
10,Normal,-95.69,36.25
22,Normal,-90.37,35.21
13,Normal,-89.6,41.76
23,Normal,-90.29,40.96
15,Normal,-90.94,35.03
16,Normal,-90.44,41.54
14,Normal,-91.32,41.71
13,Normal,-89.29,41.85
31,Normal,-87.67,41.87
23,Normal,-89.91,40.86
26,Normal,-95.76,36.18
16,Normal,-90.29,40.96
28,Overspeed,-94.28,39.53
10,Normal,-95.99,36.17
19,Normal,-94.22,35.5
21,Normal,-88.42,41.11
26,Normal,-95.99,36.17
16,Normal,-89.91,40.86
28,Normal,-94.24,39.63
29,Normal,-94.88,35.47
24,Lane Departure,-89.17,40.38
21,Normal,-88.77,40.76
18,Normal,-94.25,39.73
13,Normal,-88.64,42.21
17,Normal,-90.67,38.82
10,Normal,-95.76,36.18
19,Normal,-94.88,35.47
23,Normal,-89.74,39.1
14,Normal,-91.78,42.23
22,Normal,-89.17,40.38
24,Normal,-88.42,41.11
30,Normal,-88.96,42.25
29,Normal,-95.3,35.64
15,Normal,-90.2,38.65
16,Normal,-89.74,39.1
24,Normal,-88.07,41.48
23,Normal,-89.17,40.38
19,Normal,-95.3,35.64
29,Normal,-95.42,35.87
18,Normal,-93.6,39.77
31,Normal,-89.74,39.1
22,Normal,-88.42,41.11
20,Normal,-87.66,41.89
23,Normal,-88.77,40.76
21,Normal,-90.2,38.65
15,Normal,-89.63,39.84
18,Normal,-93.33,39.77
28,Normal,-93.33,39.77
30,Normal,-88.02,42.04
26,Normal,-95.14,36.66
32,Normal,-94.37,38.0
24,Normal,-88.07,41.48
14,Normal,-91.05,41.72
17,Normal,-90.41,38.75
32,Normal,-94.35,38.33
15,Normal,-88.77,40.76
25,Normal,-90.07,35.68
21,Normal,-89.74,39.1
31,Normal,-89.74,39.1
19,Normal,-95.99,36.17
30,Normal,-87.66,41.89
16,Normal,-88.07,41.48
28,Normal,-92.74,39.76
14,Normal,-90.44,41.54
31,Normal,-89.63,39.84
17,Normal,-90.67,38.82
23,Normal,-87.67,41.87
20,Normal,-88.96,42.25
29,Normal,-96.44,36.23
18,Normal,-92.57,39.77
31,Normal,-89.17,40.38
19,Normal,-97.36,37.69
20,Normal,-93.58,41.62
29,Normal,-97.36,37.69
10,Normal,-90.18,38.64
32,Normal,-90.04,35.19
26,Normal,-90.18,38.64
17,Normal,-90.41,38.75
21,Normal,-94.46,37.16
30,Normal,-93.36,41.69
10,Normal,-90.34,38.58
15,Normal,-90.37,35.21
23,Normal,-90.29,40.96
22,Normal,-90.68,35.12
11,Normal,-89.63,39.84
24,Normal,-89.63,39.84
32,Normal,-90.68,35.12
12,Normal,-90.24,38.0
23,Normal,-90.44,41.54
28,Normal,-90.14,39.76
19,Normal,-97.32,37.15
18,Normal,-90.14,39.76
10,Normal,-90.69,38.5
26,Normal,-90.69,38.5
23,Normal,-90.7,41.62
28,Normal,-90.24,39.72
12,Normal,-89.71,37.47
15,Normal,-91.14,34.96
10,Normal,-90.86,38.46
11,Normal,-88.42,41.11
12,Normal,-89.56,37.2
28,Normal,-90.24,39.72
32,Normal,-91.38,34.83
10,Normal,-91.07,38.31
24,Normal,-88.42,41.11
26,Normal,-91.07,38.31
18,Normal,-90.37,39.71
21,Normal,-94.38,38.67
13,Normal,-91.94,41.71
15,Normal,-91.74,34.89
14,Normal,-94.38,38.67
11,Normal,-87.67,41.87
12,Normal,-89.65,36.37
17,Normal,-91.19,38.83
10,Normal,-91.3,38.14
15,Normal,-91.93,34.81
29,Normal,-97.14,36.41
18,Normal,-90.63,39.7
27,Normal,-91.33,38.87
22,Normal,-92.09,34.8
32,Normal,-92.09,34.8
24,Normal,-87.67,41.87
11,Overspeed,-88.07,41.48
18,Normal,-90.79,39.69
10,Normal,-91.55,38.04
28,Normal,-90.79,39.69
14,Normal,-94.59,39.1
24,Normal,-88.07,41.48
31,Normal,-94.59,39.1
29,Normal,-96.68,36.2
10,Normal,-91.69,37.99
28,Normal,-90.97,39.72
30,Normal,-90.64,41.56
26,Normal,-91.69,37.99
11,Normal,-88.77,40.76
27,Normal,-92.03,38.97
20,Normal,-90.2,41.59
14,Normal,-94.38,38.67
25,Normal,-90.07,35.1
31,Normal,-94.38,38.67
23,Normal,-91.47,41.74
22,Normal,-91.93,34.81
27,Normal,-92.22,38.96
14,Normal,-94.35,38.33
13,Normal,-89.88,41.77
15,Normal,-91.93,34.81
12,Normal,-90.24,35.35
11,Normal,-89.63,39.84
10,Normal,-92.31,37.81
13,Normal,-89.6,41.76
24,Normal,-89.63,39.84
16,Normal,-91.32,41.71
12,Normal,-90.07,35.68
22,Normal,-91.38,34.83
27,Normal,-92.53,38.98
31,Normal,-94.3,37.66
30,Normal,-89.29,41.85
18,Normal,-92.07,39.71
17,Normal,-92.63,38.95
32,Normal,-91.14,34.96
20,Normal,-89.03,41.92
24,Normal,-90.2,38.65
23,Normal,-90.44,41.54
16,Normal,-90.7,41.62
17,Normal,-92.85,38.93
21,Normal,-94.46,37.16
13,Normal,-88.96,42.25
15,Normal,-90.94,35.03
16,Normal,-90.44,41.54
23,Normal,-90.29,40.96
20,Normal,-88.64,42.21
11,Normal,-89.74,39.1
10,Normal,-92.89,37.51
25,Normal,-89.54,36.84
29,Normal,-95.15,35.51
22,Normal,-90.37,35.21
21,Normal,-94.58,37.03
19,Normal,-95.15,35.51
17,Normal,-93.2,38.98
29,Normal,-94.88,35.47
20,Normal,-88.02,42.04
12,Normal,-89.71,37.47
18,Normal,-92.74,39.76
13,Normal,-88.02,42.04
24,Normal,-89.17,40.38
25,Normal,-89.71,37.47
23,Normal,-89.52,40.7
30,Normal,-88.02,42.04
31,Normal,-94.31,37.31
19,Normal,-94.57,35.37
26,Normal,-93.34,37.21
29,Normal,-94.22,35.5
21,Normal,-94.3,37.66
11,Normal,-88.42,41.11
25,Normal,-90.24,38.0
17,Normal,-93.85,39.01
29,Normal,-93.92,35.53
22,Normal,-90.68,35.12
10,Normal,-93.96,37.08
30,Normal,-87.66,41.89
11,Normal,-88.07,41.48
24,Normal,-88.07,41.48
27,Normal,-94.0,39.03
31,Normal,-94.35,38.33
26,Normal,-93.96,37.08
18,Normal,-93.6,39.77
30,Normal,-88.02,42.04
14,Normal,-94.35,38.33
20,Normal,-88.64,42.21
15,Normal,-90.94,35.03
21,Normal,-94.38,38.67
17,Normal,-94.31,39.04
30,Normal,-88.41,42.11
14,Normal,-94.38,38.67
19,Normal,-93.12,35.31
22,Normal,-91.38,34.83
29,Normal,-93.12,35.31
25,Normal,-90.35,38.43
11,Normal,-88.07,41.48
14,Normal,-94.38,38.99
22,Normal,-91.74,34.89
26,Normal,-94.83,36.84
18,Normal,-94.25,39.73
32,Normal,-91.74,34.89
31,Normal,-94.59,39.1
19,Normal,-92.53,35.15
12,Normal,-90.0,37.72
27,Normal,-94.44,39.1
26,Normal,-95.01,36.73
32,Normal,-91.93,34.81
24,Normal,-88.77,40.76
29,Normal,-92.25,34.92
12,Normal,-89.71,37.47
22,Normal,-92.09,34.8
20,Normal,-89.88,41.77
32,Normal,-92.09,34.8
30,Normal,-89.29,41.85
15,Normal,-92.09,34.8
26,Normal,-95.35,36.47
18,Normal,-94.36,39.37
29,Normal,-92.25,34.75
30,Normal,-89.6,41.76
31,Normal,-94.35,38.33
15,Normal,-92.31,34.78
27,Normal,-94.0,39.03
22,Normal,-92.31,34.78
14,Normal,-94.35,38.33
28,Normal,-94.42,39.27
23,Normal,-91.63,41.72
27,Normal,-93.85,39.01
26,Normal,-95.69,36.25
28,Normal,-94.57,39.15
30,Normal,-90.2,41.59
24,Normal,-90.2,38.65
29,Normal,-92.53,35.15
15,Normal,-92.09,34.8
10,Normal,-95.99,36.17
14,Normal,-94.3,37.66
20,Normal,-91.24,41.67
23,Normal,-91.32,41.71
27,Normal,-93.45,38.99
13,Normal,-90.82,41.66
17,Normal,-93.2,38.98
14,Normal,-94.31,37.31
28,Normal,-94.42,39.27
12,Normal,-90.24,35.35
16,Normal,-91.32,41.71
11,Normal,-89.74,39.1
17,Normal,-93.01,38.97
25,Normal,-90.24,35.35
20,Normal,-91.94,41.71
21,Normal,-94.58,37.03
11,Normal,-89.63,39.84
10,Normal,-95.69,36.25
17,Normal,-92.85,38.93
14,Normal,-94.58,37.03
28,Normal,-94.28,39.53
23,Normal,-90.44,41.54
16,Normal,-90.7,41.62
15,Normal,-91.14,34.96
28,Normal,-94.24,39.63
25,Normal,-90.07,35.1
30,Normal,-91.94,41.71
13,Normal,-92.19,41.74
16,Normal,-90.44,41.54
15,Normal,-90.94,35.03
28,Normal,-94.25,39.73
23,Normal,-89.91,40.86
16,Normal,-90.29,40.96
12,Normal,-90.07,35.68
17,Normal,-92.38,38.98
15,Normal,-90.68,35.12
14,Normal,-94.31,37.31
19,Normal,-94.22,35.5
21,Normal,-94.3,37.66
29,Normal,-94.57,35.37
17,Normal,-92.22,38.96
15,Normal,-90.37,35.21
14,Normal,-94.3,37.66
16,Normal,-89.52,40.7
13,Normal,-93.04,41.71
21,Normal,-94.37,38.0
17,Normal,-92.03,38.97
20,Normal,-93.58,41.62
23,Normal,-89.91,40.86
26,Normal,-94.83,36.84
30,Normal,-93.04,41.71
16,Normal,-89.52,40.7
31,Normal,-94.35,38.33
15,Normal,-90.04,35.19
18,Normal,-93.33,39.77
30,Normal,-93.36,41.69
24,Normal,-88.42,41.11
11,Normal,-88.07,41.48
14,Normal,-94.38,38.67
32,Normal,-90.68,35.12
26,Normal,-94.23,37.09
12,Normal,-89.71,37.47
10,Normal,-93.96,37.08
31,Normal,-94.38,38.99
17,Normal,-91.33,38.87
18,Normal,-92.94,39.77
25,Normal,-89.71,37.47
24,Normal,-89.17,40.38
29,Normal,-95.56,35.97
22,Normal,-91.14,34.96
27,Normal,-91.33,38.87
17,Normal,-91.19,38.83
21,Normal,-94.59,39.1
13,Normal,-93.04,41.71
16,Normal,-90.7,41.62
17,Normal,-91.1,38.83
30,Normal,-93.04,41.71
26,Normal,-93.34,37.21
16,Normal,-91.05,41.72
25,Normal,-90.24,38.0
22,Normal,-91.74,34.89
17,Normal,-90.93,38.82
20,Normal,-92.19,41.74
30,Normal,-92.74,41.75
16,Normal,-91.32,41.71
29,Normal,-96.21,36.19
15,Normal,-91.74,34.89
28,Normal,-92.27,39.76
32,Normal,-91.93,34.81
12,Normal,-90.15,38.62
22,Normal,-92.09,34.8
24,Normal,-90.2,38.65
14,Normal,-94.35,38.33
32,Normal,-92.09,34.8
11,Normal,-90.2,38.65
16,Normal,-91.63,41.72
19,Normal,-96.44,36.23
25,Normal,-90.15,38.62
15,Normal,-92.09,34.8
20,Normal,-91.24,41.67
23,Normal,-91.78,42.23
27,Normal,-90.67,38.82
28,Normal,-91.59,39.68
32,Normal,-92.31,34.78
13,Normal,-91.24,41.67
18,Normal,-91.59,39.68
27,Normal,-90.55,38.81
22,Normal,-92.09,34.8
10,Normal,-92.48,37.8
24,Normal,-89.17,40.38
13,Normal,-90.82,41.66
30,Normal,-91.24,41.67
12,Normal,-89.71,37.47
19,Normal,-97.14,36.41
28,Normal,-91.2,39.75
25,Normal,-90.0,37.72
15,Normal,-92.09,34.8
